
2024/01/12 (13:19:03) | ===> btop++ v.1.3.0
2024/01/12 (13:19:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/12 (13:19:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/22 (18:34:28) | ===> btop++ v.1.3.0
2024/01/22 (18:34:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/22 (18:34:28) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/22 (18:34:57) | ===> btop++ v.1.3.0
2024/01/22 (18:34:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/22 (18:34:57) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/23 (15:05:30) | ===> btop++ v.1.3.0
2024/01/23 (15:05:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/23 (15:05:30) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/01/23 (15:06:03) | ===> btop++ v.1.3.0
2024/01/23 (15:06:03) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/01/23 (15:06:03) | WARNING: NVML: Failed to get GPU power usage: Not Supported

2024/02/16 (08:37:58) | ===> btop++ v.1.3.2
2024/02/16 (08:37:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2024/02/16 (08:37:58) | WARNING: NVML: Failed to get GPU power usage: Not Supported
